name=Courriels à envoyer, model=mail.mail, id=172, state=base
name=Cover Properties Website Mixin, model=website.cover_properties.mixin, id=594, state=base
name=Create links that apply a coupon and redirect to a specific page, model=coupon.share, id=680, state=base
name=Créer des Ecritures Automatiques, model=account.automatic.entry.wizard, id=441, state=base
name=Créer le menu, model=wizard.ir.model.menu.create, id=10, state=base
name=Devise, model=res.currency, id=91, state=base
name=Digest, model=digest.digest, id=391, state=base
name=Dispositif d'authentification, model=auth_totp.device, id=116, state=base
name=Distribution Analytique, model=account.analytic.default, id=417, state=base
name=Distribution de compte analytique, model=account.analytic.distribution, id=342, state=base
name=Documents électroniques pour un déplacement de compte., model=account.edi.document, id=514, state=base
name=Donner l'accès au portail, model=portal.wizard, id=373, state=base
name=Définition d'objectif de ludification, model=gamification.goal.definition, id=654, state=base
name=Démo, model=ir.demo, id=68, state=base
name=Dépendances de module, model=ir.module.module.dependency, id=66, state=base
name=Désinstallation du module, model=base.module.uninstall, id=109, state=base
name=Détail des conditions de paiement, model=account.payment.term.line, id=414, state=base
name=Détail du travail, model=resource.calendar.attendance, id=149, state=base
name=Détails des congés de la ressource, model=resource.calendar.leaves, id=151, state=base
name=Détails du PdV, model=report.point_of_sale.report_saledetails, id=531, state=base
name=E-Commerce Extra Info Shown on product page, model=website.sale.extra.field, id=640, state=base
name=E-FFF (BE), model=account.edi.xml.ubl_efff, id=548, state=base
name=Editer la ligne du participant sur la confirmation de commande, model=registration.editor.line, id=619, state=base
name=Editer les détails des participants sur la Confirmation de Vente., model=registration.editor, id=618, state=base
name=Editeur de Robots.txt, model=website.robots, id=615, state=base
name=Emballage des produits, model=product.packaging, id=355, state=base
name=Emplacement de destination du Paquet, model=stock.package.destination, id=509, state=base
name=Emplacements des stocks, model=stock.location, id=465, state=base
name=Enregistrer un paiement, model=account.payment.register, id=454, state=base
name=Entrepôt, model=stock.warehouse, id=477, state=base
name=Erreur de Format lors de l'Envoi d'une Lettre par la Poste, model=snailmail.letter.format.error, id=389, state=base
name=Etat de compte sans les paiements, model=report.account.report_invoice, id=459, state=base
name=Etiquette CRM, model=crm.tag, id=566, state=base
name=Event Template Ticket, model=event.type.ticket, id=589, state=base
name=Exclusion d'attribut de modèle de produit, model=product.template.attribute.exclusion, id=361, state=base
name=Exclusion de module, model=ir.module.module.exclusion, id=67, state=base
name=Exports, model=ir.exports, id=34, state=base
name=Factur-x/XRechnung CII 2.2.0, model=account.edi.xml.cii, id=542, state=base
name=Facture de paiement d'avance, model=sale.advance.payment.inv, id=573, state=base
name=Facture du compte envoyée, model=account.invoice.send, id=453, state=base
name=Fenêtre d'action, model=ir.actions.act_window, id=19, state=base
name=Fermer la Fenêtre d'Action, model=ir.actions.act_window_close, id=21, state=base
name=Ficher Echange Informatise, model=account.fr.fec, id=549, state=base
name=Filtres, model=ir.filters, id=31, state=base
name=Format d'adresse, model=format.address.mixin, id=81, state=base
name=Fusionner la ligne du partenaire, model=base.partner.merge.line, id=112, state=base
name=Google Gmail Mixin, model=google.gmail.mixin, id=682, state=base
name=Grade sur base du Karma, model=gamification.karma.rank, id=660, state=base
name=Groupe d'approvisionnement, model=procurement.group, id=470, state=base
name=Groupe de comptes, model=account.group, id=400, state=base
name=Groupe de journal, model=account.journal.group, id=402, state=base
name=Groupe de pays, model=res.country.group, id=78, state=base
name=Groupe de taxe, model=account.tax.group, id=404, state=base
name=Groupes d'accès, model=res.groups, id=94, state=base
name=Générer le Coupon, model=coupon.generate.wizard, id=678, state=base
name=Générer le lien de paiement des ventes, model=payment.link.wizard, id=520, state=base
name=Historique des quantités en stock, model=stock.quantity.history, id=502, state=base
name=Historisation, model=ir.logging, id=62, state=base
name=IAP Partner Autocomplete API, model=iap.autocomplete.api, id=369, state=base
name=Icône de paiement, model=payment.icon, id=516, state=base
name=Image de l'article, model=product.image, id=637, state=base
name=Importation de langue, model=base.language.import, id=107, state=base
name=Impression de journal comptable, model=account.print.journal, id=448, state=base
name=Inconnu, model=_unknown, id=2, state=base
name=Incorporer les alias email, model=mail.alias.mixin, id=158, state=base
name=Incoterms, model=account.incoterms, id=440, state=base
name=Installateur Configuration, model=res.config.installer, id=89, state=base
name=Installation de langue, model=base.language.install, id=106, state=base
name=Intermédiaire de Paiement, model=payment.acquirer, id=515, state=base
name=Invité, model=mail.guest, id=178, state=base
name=Jeton de paiement, model=payment.token, id=517, state=base
name=Lancez le planificateur manuellement, model=stock.scheduler.compute, id=497, state=base
name=Langue d'export, model=base.language.export, id=110, state=base
name=Langues, model=res.lang, id=80, state=base
name=Les 2 premiers chiffres des codes du compte , model=account.root, id=401, state=base
name=Lettrage, model=account.full.reconcile, id=419, state=base
name=Lettre Snailmail, model=snailmail.letter, id=386, state=base
name=Ligne Modèle de devis, model=sale.order.template.line, id=578, state=base
name=Ligne analytique, model=account.analytic.line, id=346, state=base
name=Ligne d'attribut du modèle d'article, model=product.template.attribute.line, id=359, state=base
name=Ligne d'export, model=ir.exports.line, id=35, state=base
name=Ligne de Bon de Retour, model=stock.return.picking.line, id=491, state=base
name=Ligne de Confirmation de reliquat, model=stock.backorder.confirmation.line, id=500, state=base
name=Ligne de Suivi du Stock, model=stock.track.line, id=508, state=base
name=Ligne de Transfert Immédiat, model=stock.immediate.transfer.line, id=498, state=base
name=Ligne de bons de commande, model=sale.order.line, id=568, state=base
name=Ligne de caisse, model=account.cashbox.line, id=423, state=base
name=Ligne de commande d'achat, model=purchase.order.line, id=554, state=base
name=Ligne de rapport de taxes, model=account.tax.report.line, id=409, state=base
name=Ligne de relevé bancaire, model=account.bank.statement.line, id=427, state=base
name=Ligne de répartition de la taxe, model=account.tax.repartition.line, id=406, state=base
name=Ligne de saisie pour l'utilisateur du sondage, model=survey.user_input.line, id=668, state=base
name=Lignes des commandes du point de vente, model=pos.order.line, id=529, state=base
name=Liste de prix, model=product.pricelist, id=363, state=base
name=Liste de prix du fournisseur, model=product.supplierinfo, id=356, state=base
name=Log utilisateurs, model=res.users.log, id=95, state=base
name=Mail Bot, model=mail.bot, id=348, state=base
name=Mail Composer Mixin, model=mail.composer.mixin, id=160, state=base
name=Mail RTC session, model=mail.channel.rtc.session, id=176, state=base
name=Mail Render Mixin, model=mail.render.mixin, id=159, state=base
name=Mappage de taxes de la position fiscale, model=account.fiscal.position.tax, id=395, state=base
name=Mapping d'importation de base, model=base_import.mapping, id=118, state=base
name=Medium UTM, model=utm.medium, id=559, state=base
name=Menu, model=ir.ui.menu, id=13, state=base
name=Menu des thèmes site web, model=theme.website.menu, id=607, state=base
name=Menu des événements du site Web, model=website.event.menu, id=616, state=base
